title,labels,milestone,sprint
"Epic: SKALE Agentic Commerce preset with x402","type:epic,area:chain-adapter,phase:foundation,chain:skale,preset:skale-commerce","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Implement SKALE chain adapter in deploy-service","type:feature,area:chain-adapter,phase:foundation,chain:skale,preset:skale-commerce","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Extend TS SDK with x402Client","type:feature,area:sdk-cli,phase:foundation,chain:skale,preset:skale-commerce","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Implement SKALE Agentic Commerce preset and template","type:feature,area:agents,phase:foundation,chain:skale,preset:skale-commerce","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Add sf-x402 commerce example script repo","type:chore,area:sdk-cli,phase:foundation,chain:skale,preset:skale-commerce","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Epic: Frontend shell & run view","type:epic,area:frontend,phase:foundation","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Implement Next.js/React/Tailwind app shell with auth","type:feature,area:frontend,phase:foundation","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Implement Run Pipeline UI with stage status and artefact links","type:feature,area:frontend,phase:foundation","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Epic: BNB chain adapter & Infra preset","type:epic,area:chain-adapter,phase:foundation,chain:bnb,preset:bnb-infra","Phase 1 – Sprint 2 (Feb 18–Mar 2)","Sprint 2"
"Implement BNB chain config and adapter in deploy-service","type:feature,area:chain-adapter,phase:foundation,chain:bnb,preset:bnb-infra","Phase 1 – Sprint 2 (Feb 18–Mar 2)","Sprint 2"
"Create BNB OZ-based templates (ERC20, staking, simple DeFi)","type:feature,area:contracts,phase:foundation,chain:bnb,preset:bnb-infra","Phase 1 – Sprint 2 (Feb 18–Mar 2)","Sprint 2"
"Implement BNB Infra Starter preset (guided questions + full pipeline)","type:feature,area:agents,phase:foundation,chain:bnb,preset:bnb-infra","Phase 1 – Sprint 2 (Feb 18–Mar 2)","Sprint 2"
"Add bnb-infra-starter example script","type:chore,area:sdk-cli,phase:foundation,chain:bnb,preset:bnb-infra","Phase 1 – Sprint 2 (Feb 18–Mar 2)","Sprint 2"
"Epic: Avalanche chain adapter & Infra preset","type:epic,area:chain-adapter,phase:foundation,chain:avalanche,preset:avax-infra","Phase 1 – Sprint 2 (Feb 18–Mar 2)","Sprint 2"
"Implement Avalanche chain config and adapter","type:feature,area:chain-adapter,phase:foundation,chain:avalanche,preset:avax-infra","Phase 1 – Sprint 2 (Feb 18–Mar 2)","Sprint 2"
"Create Avalanche game/infra templates","type:feature,area:contracts,phase:foundation,chain:avalanche,preset:avax-infra","Phase 1 – Sprint 2 (Feb 18–Mar 2)","Sprint 2"
"Implement Avalanche Build Games preset and example","type:feature,area:agents,phase:foundation,chain:avalanche,preset:avax-infra","Phase 1 – Sprint 2 (Feb 18–Mar 2)","Sprint 2"
"Epic: SDK/CLI v0.1","type:epic,area:sdk-cli,phase:foundation","Phase 1 – Sprint 2 (Feb 18–Mar 2)","Sprint 2"
"Implement TS SDK core functions (createWorkspace, createProject, runPipeline, getRunStatus, listArtefacts)","type:feature,area:sdk-cli,phase:foundation","Phase 1 – Sprint 2 (Feb 18–Mar 2)","Sprint 2"
"Implement hyperagent CLI (init/run/deploy) using SDK","type:feature,area:sdk-cli,phase:foundation","Phase 1 – Sprint 2 (Feb 18–Mar 2)","Sprint 2"
"Publish SDK to npm and write basic usage docs","type:chore,area:sdk-cli,area:docs,phase:foundation","Phase 1 – Sprint 2 (Feb 18–Mar 2)","Sprint 2"
"Epic: Observability & security v1","type:epic,area:observability,area:security,phase:foundation","Phase 1 – Sprint 2 (Feb 18–Mar 2)","Sprint 2"
"Instrument services with OpenTelemetry traces and metrics","type:feature,area:observability,phase:foundation","Phase 1 – Sprint 2 (Feb 18–Mar 2)","Sprint 2"
"Integrate MLflow for model routing experiments","type:feature,area:observability,phase:foundation","Phase 1 – Sprint 2 (Feb 18–Mar 2)","Sprint 2"
"Add basic prompt-injection guardrails on inbound specs","type:feature,area:security,phase:foundation","Phase 1 – Sprint 2 (Feb 18–Mar 2)","Sprint 2"
"Epic: Multi-tenant workspaces & SaaS basics","type:epic,area:orchestration,phase:foundation","Phase 1 – Sprint 3 (Mar 3–16)","Sprint 3"
"Finalize multi-tenant workspace model in Supabase (RLS, scoping)","type:feature,area:orchestration,area:storage-rag,phase:foundation","Phase 1 – Sprint 3 (Mar 3–16)","Sprint 3"
"Implement workspace-level quotas and limits","type:feature,area:orchestration,phase:foundation","Phase 1 – Sprint 3 (Mar 3–16)","Sprint 3"
"Implement Auth0/JWT and per-workspace rate limiting","type:feature,area:orchestration,area:infra,phase:foundation","Phase 1 – Sprint 3 (Mar 3–16)","Sprint 3"
"Epic: Template Library & Preset Registry","type:epic,area:agents,phase:foundation","Phase 1 – Sprint 3 (Mar 3–16)","Sprint 3"
"Implement configs/presets.yaml registry","type:feature,area:agents,phase:foundation","Phase 1 – Sprint 3 (Mar 3–16)","Sprint 3"
"Wire orchestrator to load graphs/templates by presetId","type:feature,area:agents,phase:foundation","Phase 1 – Sprint 3 (Mar 3–16)","Sprint 3"
"Implement New Project wizard surfacing all presets","type:feature,area:frontend,phase:foundation","Phase 1 – Sprint 3 (Mar 3–16)","Sprint 3"
"Epic: Monorepo structure & submodules","type:epic,area:infra,phase:foundation","Phase 1 – Sprint 3 (Mar 3–16)","Sprint 3"
"Organize repo into apps/, services/, contracts/, packages/, external/ with submodules","type:feature,area:infra,phase:foundation","Phase 1 – Sprint 3 (Mar 3–16)","Sprint 3"
"Configure git submodules (OZ, forge-std, erc4626-tests) pinned to tags","type:feature,area:infra,phase:foundation","Phase 1 – Sprint 3 (Mar 3–16)","Sprint 3"
"Document submodule onboarding and update process","type:chore,area:infra,area:docs,phase:foundation","Phase 1 – Sprint 3 (Mar 3–16)","Sprint 3"
"Epic: CI/CD & quality gates","type:epic,area:infra,area:security,phase:foundation","Phase 1 – Sprint 3 (Mar 3–16)","Sprint 3"
"Implement PR CI workflow (lint, tests, contract checks, static analysis)","type:feature,area:infra,area:security,phase:foundation","Phase 1 – Sprint 3 (Mar 3–16)","Sprint 3"
"Implement release workflow (build Docker images, deploy to staging)","type:feature,area:infra,phase:foundation","Phase 1 – Sprint 3 (Mar 3–16)","Sprint 3"
"Configure canary deployments and basic SLOs for core services","type:feature,area:infra,area:observability,phase:foundation","Phase 1 – Sprint 3 (Mar 3–16)","Sprint 3"

